State/UT,Government,Aided,Private,Others,Department of Education,Tribal Welfare Department,Local body,Social welfare Department,Ministry of Labor,Other Govt  managed schools,Kendriya Vidyalaya / Central School,Jawahar Navodaya Vidyalaya,Sainik School,Railway School,Central Tibetan School,Total Government,Government Aided,Private Unaided [Recognized],Unrecognized,Madarsa recognized [by Wakf board/Madarsa Board],Madarsa unrecognized,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec ,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,Boys,Girls,Co-Educational,URBAN,RURAL,Ashram [Govt ],KGBV,Model School,Non-Ashram [Govt ],Eklavya Model Residential School,Others,Private,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,Primary,Primary with Upper Primary,Pr  with Up Pr  sec  and H Sec ,Pr  Up Pr  and Secondary Only,Upper Primary only,Upper Pr  and Secondary,Up  Pr  Secondary and Higher Sec,Secondary Only,Secondary with Higher Secondary,Higher Secondary only/Jr  College,CBSE,State Board,ICSE,International Board,Others
Andaman & Nicobar Islands,339,2,72,1,328,0,6,0,0,0,2,3,0,0,0,339,2,72,1,0,0,217,80,46,47,1,3,16,0,4,0,0,1,413,58,356,0,0,0,2,0,2,4,,,,,,,,,,,50,36,34,28,0,1,11,0,3,0,115,0,0,0,0
Andhra Pradesh,45013,2346,15862,400,1679,2310,40699,212,0,54,39,15,2,3,0,45013,2346,15862,142,12,246,39499,9425,75,2308,2,10191,170,14,0,1937,577,1242,61802,12713,50908,326,352,0,399,0,0,526,214,65,2,40,0,105,4,0,0,60,17079,4882,61,1455,1,7267,149,5,0,871,205,11535,41,44,2113
Arunachal Pradesh,3179,64,503,47,3144,2,0,0,0,0,16,16,0,0,1,3179,64,503,47,0,0,2031,1246,67,257,53,44,51,1,41,2,4,89,3700,438,3355,52,33,4,176,8,66,271,1,0,0,1,0,0,0,0,0,0,243,341,12,81,17,13,21,0,11,0,426,10,11,0,10
Assam,47223,5065,6084,7952,46626,1,494,4,0,5,63,20,3,7,0,47223,5065,6084,7773,0,179,44519,4162,417,3195,7846,2357,716,2016,207,889,173,1040,65111,3653,62671,13,68,0,14,3,95,256,52,18,0,11,7,12,2,1,0,0,15563,1713,130,938,2652,1109,326,321,8,48,280,8508,5,0,102
Bihar,72590,689,6031,9209,72435,6,0,62,0,0,49,34,2,2,0,72590,689,6031,7452,1582,175,42610,37142,1905,2301,266,208,86,1119,2545,337,183,917,87419,8869,79650,128,49,21,180,6,197,1111,154,346,21,17,2,1,0,12,12,6,11485,12735,547,876,127,15,24,101,372,17,679,7015,17,11,410
Chandigarh,121,7,74,27,114,0,0,0,0,0,7,0,0,0,0,121,7,74,24,0,3,20,41,92,72,0,0,3,0,1,0,1,3,225,197,32,0,0,0,1,0,2,5,0,0,3,1,0,0,1,0,0,0,11,19,70,65,0,0,1,0,1,0,160,2,4,1,1
Chhattisgarh,48671,434,6842,327,48565,27,0,8,0,2,34,27,1,6,1,48671,434,6842,0,267,60,32811,3002,1385,735,13368,30,152,1937,2844,10,1051,1337,53886,6227,50047,1182,93,74,150,27,132,297,5,1,0,2,0,0,0,0,0,0,6229,363,332,141,3145,7,35,378,987,0,395,6671,17,0,0
Dadra & Nagar Haveli,300,10,35,1,297,0,1,0,0,0,1,1,0,0,0,300,10,35,1,0,0,168,130,9,11,1,0,1,12,13,1,0,1,345,36,310,0,1,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,81,91,6,6,0,0,0,12,13,1,11,35,0,0,0
Daman & Diu,112,4,23,1,109,0,0,0,0,0,2,1,0,0,0,112,4,23,0,1,0,50,4,9,11,38,0,3,13,10,2,6,6,128,39,101,4,0,0,0,0,3,1,,,,,,,,,,,17,4,1,5,17,0,1,7,7,0,7,37,0,0,2
Delhi,2784,253,2666,0,1022,0,1710,5,0,0,45,2,0,0,0,2784,253,2666,0,0,0,2695,840,1212,268,32,99,553,0,4,0,972,880,3851,5478,225,3,0,0,0,0,0,6,2,5,4,1,0,0,0,0,0,0,875,46,754,57,13,84,469,0,2,0,2126,0,2,0,8
Goa,833,514,139,0,826,0,0,0,0,0,5,2,0,0,0,833,514,139,0,0,0,907,52,11,180,9,220,5,4,0,98,12,10,1464,323,1163,4,0,0,0,0,1,4,,,,,,,,,,,173,11,6,87,3,87,1,0,0,12,17,396,4,1,2
Gujarat,35202,5734,13641,4,1221,933,32804,86,0,73,50,31,1,3,0,35202,5734,13641,0,4,0,12282,29251,1676,919,814,83,290,3844,4620,802,1362,1875,51344,12330,42251,706,80,68,272,42,243,614,42,122,10,8,2,0,2,8,16,5,3792,15778,320,137,245,23,125,899,1564,40,389,10685,30,36,280
