State/UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,literacy rate (%) rural,,,Estd. (00) students rural,,, Gross attendance ratiofor different levels ofeducation level of education in rural,,,,,,,,,,,,,, Net attendance ratio for different level of education in rural,,,,,,,,,,,,Age-specific attendance ratio by age-group in rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,female,persons,male,female,persons,primary (M),upper primary (M),"primary & upper (M)
primary",secondary (M),higher secondary (M),primary to higher secondary (M),above higher secondary (M),primary (F),upper primary (F),"primary & upper (F)
primary",secondary (F),higher secondary (F),primary to higher secondary (F),above higher secondary (F),primary (M),upper primary (M),primary & upper primary  (M),secondary (M),higher secondary (M),above higher secondary (M),primary (F),upper primary (F),primary & upper primary (F),secondary (F),higher secondary (F),above higher secondary (F),6-13 (M),14-17 (M),18-23 (M),24-29 (M),6-13 (F),14-17 (F),18-23 (F),24-29 (F),attending edu rural,Not attending edu rural,G edu primary,G edu upper primary,G edu secondary,G edu higher secondary,G edu graduate,G edu post- graduate and above,G edu diploma,pri govt.,pri pvt. aided,pri pvt. unaided,up pri govt.,up pri pvt. aided,up pri pvt. unaided,sec high govt.,sec high pvt. aided,sec high pvt. unaided,gradu. Above govt.,gradu. Above pvt. aided,gradu. Above pvt. unaided,d/c govt.,d/c pvt. aided,d/c pvt. unaided,dropping-out/discontinuance (M),dropping-out/discontinuance (F),never enrolled (M),never enrolled (F),computer rural,internet rural,
Andhra Pradesh,69.6,50.5,60,37516,29123,66639,106,102,104,88,70,95,11,107,87,98,86,68,91,6,87,71,91,55,47,11,91,71,91,44,49,5,95,81,29,2,97,68,14,1,68003,558,3177,2611,5529,11107,15412,17267,8233,287,3,107,207,2,34,139,12,93,18,11,48,10,5,23,389,399,73,120,25,335,
Arunachal Pradesh,75.8,70,72.9,1514,1369,2883,78,129,96,110,84,96,18,87,134,100,118,61,97,11,64,64,82,43,29,17,76,77,87,61,31,9,86,89,64,11,88,94,45,7,3019,109,2907,3787,5219,7889,7476,0,22798,278,10,15,220,0,10,311,17,4,47,1,4,47,31,5,217,216,71,130,88,200,
Assam,88.7,81.1,85.1,36127,25070,61197,104,114,107,86,79,100,9,105,113,108,91,54,97,8,87,70,93,50,35,8,90,74,94,61,32,7,96,76,33,2,97,78,20,1,62322,3156,1640,2259,3860,7005,9354,23319,7855,419,11,25,227,7,10,206,15,9,45,7,1,12,2,3,356,394,40,84,54,99,
Bihar,75.7,54.2,65.5,130879,100179,231058,95,92,94,83,54,87,11,98,83,93,73,52,85,5,77,62,85,47,26,10,77,51,81,38,22,4,86,72,32,5,84,69,20,2,243309,3638,2178,2917,4573,9227,9575,13134,14122,449,4,53,200,1,17,193,9,12,39,4,3,10,1,4,224,204,151,242,23,57,
Chhattisgarh,80.3,60,70.4,25701,22589,48289,103,82,95,94,55,89,7,96,88,93,83,74,89,6,86,52,84,54,28,7,81,64,84,59,44,6,87,76,29,2,85,83,24,1,51106,1134,979,1091,1853,3639,6430,4962,4207,383,11,41,189,11,19,264,1,14,41,2,2,13,6,2,344,316,63,91,11,25,
Delhi,95.8,79.1,88.9,610,300,910,133,50,101,106,93,100,13,117,40,89,52,45,76,10,78,37,83,59,54,9,85,40,89,47,45,10,84,100,35,5,91,46,21,0,910,52,9356,15240,23408,16467,14497,0,10345,138,49,313,22,0,91,116,1,94,109,4,35,0,0,27,438,550,54,83,296,429,
Goa,96.9,88.2,92.2,301,710,1011,52,123,84,227,51,103,7,84,93,88,158,90,98,11,52,65,84,100,35,7,76,65,83,79,66,10,100,100,31,0,98,95,31,0,1022,40,6705,3852,6045,9717,12377,0,0,78,156,22,42,208,0,79,269,0,53,30,0,21,40,2,544,361,84,37,464,486,
Gujarat,84.1,63.4,74,39663,30748,70411,101,89,96,87,49,86,9,97,94,96,61,42,81,7,88,67,89,59,39,8,89,74,90,40,26,6,92,75,19,2,92,52,15,2,71461,577,2251,3130,5613,12168,10446,13407,33188,401,31,23,214,19,7,129,61,24,25,28,8,12,11,7,394,420,58,100,71,171,
Haryana,83.2,62,72.9,22541,17970,40511,99,100,99,93,95,98,12,100,79,92,103,70,90,10,81,73,88,59,49,12,86,61,86,63,53,10,90,87,38,5,89,79,26,2,41816,182,6899,5203,9613,14589,14786,21039,16671,216,24,150,148,12,51,158,18,93,45,9,23,18,6,23,344,354,49,75,78,214,
Himachal Pradesh,92,76.2,84.1,8255,7670,15925,105,100,103,110,91,102,25,103,105,104,110,99,104,21,87,83,93,71,63,25,91,79,92,62,69,19,95,92,63,6,99,96,50,8,16209,237,6137,5315,6976,8890,12441,25999,20986,187,12,114,152,2,47,232,4,51,95,5,34,29,2,33,296,326,13,19,146,256,
Jammu & Kashmir,83.1,62.5,73.3,13943,11077,25020,109,109,109,108,73,103,14,121,78,105,112,94,104,15,90,69,93,39,36,14,93,53,92,50,36,15,95,89,41,9,94,85,48,8,25392,179,4704,4477,5874,10295,13257,18886,13102,229,10,178,137,1,67,225,1,53,60,5,5,18,3,9,280,242,39,81,67,196,
Jharkhand,77,55.2,66.4,37467,29411,66878,100,96,99,88,60,92,8,102,89,98,101,46,90,7,81,62,85,43,31,8,79,57,85,43,21,7,88,79,29,2,87,72,24,3,71209,435,2093,3031,3888,7193,9969,15563,8685,402,17,60,186,17,28,189,17,20,40,2,5,5,3,7,279,247,86,186,24,47,
Karnataka,76.3,60.7,68.5,38164,33786,71950,101,86,95,100,60,91,9,93,90,92,98,64,89,7,93,72,91,72,44,9,89,77,88,75,51,7,96,75,28,2,92,77,16,0,74397,1207,3045,3112,3512,10877,11231,31952,12438,302,51,61,175,24,15,170,60,33,34,24,17,9,13,11,404,435,63,83,57,158,
Kerala,97.1,91.9,94.4,20584,21337,41921,107,83,97,125,107,103,19,100,98,99,109,93,100,23,91,70,91,84,75,19,91,81,94,83,72,22,98,96,52,5,99,95,48,3,44146,685,7073,7126,8248,9595,13567,14326,12009,138,60,99,91,65,49,167,88,60,34,37,78,13,3,19,323,347,3,8,257,513,
Madhya Pradesh,77.4,54.3,66.2,68322,59131,127452,98,103,100,74,65,90,8,100,93,97,79,43,86,4,84,71,88,42,35,8,82,67,84,43,24,4,89,73,25,2,86,67,15,1,130707,5467,2096,2280,3673,6580,10093,10946,9427,338,21,79,224,17,38,174,19,34,29,7,10,7,2,4,372,309,76,189,32,64,
Maharashtra,87.2,70.3,78.8,70434,53184,123619,100,95,98,96,62,92,13,104,88,97,106,60,92,8,89,73,91,61,39,12,89,69,90,57,41,8,94,77,33,5,94,77,23,1,129934,10583,3413,3034,4627,10330,13330,15275,14141,310,45,35,150,74,7,96,139,18,18,52,10,11,28,6,373,438,39,51,113,214,
Manipur,92.1,81.4,87,2682,1724,4406,101,98,100,106,128,105,26,100,83,94,86,110,95,11,88,58,94,58,56,26,85,58,88,59,49,10,96,90,62,13,89,81,39,6,4532,23,4503,5741,11037,14190,15657,18161,7932,269,18,127,100,18,47,132,27,110,95,8,10,22,5,13,265,394,28,64,60,116,
Meghalaya,93.2,92.5,92.9,3372,3170,6542,108,127,113,124,41,103,6,107,120,112,122,41,101,3,87,55,91,40,8,6,84,58,89,32,7,3,92,83,39,3,89,77,33,6,6884,10,2754,3892,6535,14358,19116,33137,27200,305,71,70,99,113,24,106,151,18,12,21,3,5,1,2,368,390,39,39,68,125,
Mizoram,95.5,91.1,93.2,733,701,1435,110,83,99,143,76,103,11,98,93,96,121,80,98,5,87,61,93,65,12,11,79,64,88,60,12,5,95,81,41,5,90,85,32,3,1462,49,3285,5435,9787,17129,16049,41597,42871,324,10,95,171,6,57,203,26,35,48,0,5,7,4,8,331,339,41,73,195,224,
Nagaland,97.5,93.3,95.4,2114,2043,4157,96,82,90,108,135,99,24,109,79,99,95,98,98,19,83,74,85,75,77,24,91,56,93,79,74,19,91,97,65,4,95,92,48,3,4229,0,4835,5765,9550,18809,25992,16885,13239,177,135,39,95,59,24,107,93,108,52,18,67,3,9,14,283,364,31,33,193,449,
